time,latitude,longitude,elevation,year,month,day,dif_time,distance,cum_time,cum_distance,speed
2023-03-29 20:58:51.014000+00:00,6.21922667,-75.60052,1629.7,2023,3,29,0.0,0.0,0.0,0.0,0.0
2023-03-29 20:59:19+00:00,6.21927333,-75.600605,1629.8,2023,3,29,27.986,10.73,27.986,10.73,0.38340598870864007
2023-03-29 20:59:28+00:00,6.21935667,-75.60056333,1629.6,2023,3,29,9.0,10.35,36.986000000000004,21.08,1.15
2023-03-29 21:00:00+00:00,6.21927333,-75.60060667,1580.9,2023,3,29,32.0,10.43,68.986,31.509999999999998,0.3259375
2023-03-29 21:00:08+00:00,6.219265,-75.60069833,1585.7,2023,3,29,8.0,10.17,76.986,41.68,1.27125
2023-03-29 21:00:12+00:00,6.21926333,-75.600815,1587.3,2023,3,29,4.0,12.9,80.986,54.58,3.225
2023-03-29 21:00:15+00:00,6.21933833,-75.60089667,1587.2,2023,3,29,3.0,12.29,83.986,66.87,4.096666666666667
2023-03-29 21:00:17+00:00,6.21942,-75.60094667,1587.0,2023,3,29,2.0,10.63,85.986,77.5,5.315
2023-03-29 21:00:19+00:00,6.21952,-75.60099833,1587.1,2023,3,29,2.0,12.5,87.986,90.0,6.25
2023-03-29 21:00:21+00:00,6.21961333,-75.60103,1586.3,2023,3,29,2.0,10.95,89.986,100.95,5.475
2023-03-29 21:00:23+00:00,6.21972833,-75.60105667,1585.4,2023,3,29,2.0,13.12,91.986,114.07000000000001,6.56
2023-03-29 21:00:25+00:00,6.21988333,-75.60107833,1584.5,2023,3,29,2.0,17.4,93.986,131.47,8.7
2023-03-29 21:00:27+00:00,6.22002333,-75.60108333,1583.8,2023,3,29,2.0,15.58,95.986,147.05,7.79
2023-03-29 21:00:30+00:00,6.22012667,-75.601075,1582.9,2023,3,29,3.0,11.53,98.986,158.58,3.8433333333333333
2023-03-29 21:00:33+00:00,6.22024333,-75.60108,1582.5,2023,3,29,3.0,12.98,101.986,171.56,4.326666666666667
2023-03-29 21:00:35+00:00,6.220335,-75.60112667,1582.2,2023,3,29,2.0,11.42,103.986,182.98,5.71
2023-03-29 21:00:37+00:00,6.22041667,-75.601215,1581.8,2023,3,29,2.0,13.33,105.986,196.31,6.665
2023-03-29 21:00:39+00:00,6.22046,-75.60131333,1581.6,2023,3,29,2.0,11.89,107.986,208.2,5.945
2023-03-29 21:00:42+00:00,6.22049167,-75.60146,1572.3,2023,3,29,3.0,16.59,110.986,224.79,5.53
2023-03-29 21:00:45+00:00,6.22050833,-75.60159333,1568.5,2023,3,29,3.0,14.85,113.986,239.64,4.95
2023-03-29 21:00:47+00:00,6.220505,-75.6017,1566.8,2023,3,29,2.0,11.8,115.986,251.44,5.9
2023-03-29 21:00:49+00:00,6.220515,-75.601815,1565.4,2023,3,29,2.0,12.76,117.986,264.2,6.38
2023-03-29 21:00:51+00:00,6.22053167,-75.601925,1564.1,2023,3,29,2.0,12.3,119.986,276.5,6.15
2023-03-29 21:00:53+00:00,6.220565,-75.60203667,1561.5,2023,3,29,2.0,12.89,121.986,289.39,6.445
2023-03-29 21:00:55+00:00,6.220575,-75.60213,1560.3,2023,3,29,2.0,10.38,123.986,299.77,5.19
2023-03-29 21:00:59+00:00,6.22059333,-75.60224333,1563.0,2023,3,29,4.0,12.69,127.986,312.46,3.1725
2023-03-29 21:01:01+00:00,6.22058333,-75.60234,1564.0,2023,3,29,2.0,10.74,129.986,323.2,5.37
2023-03-29 21:01:03+00:00,6.22057333,-75.60247,1566.7,2023,3,29,2.0,14.41,131.986,337.61,7.205
2023-03-29 21:01:05+00:00,6.22055167,-75.60260833,1567.7,2023,3,29,2.0,15.48,133.986,353.09000000000003,7.74
2023-03-29 21:01:07+00:00,6.220545,-75.60274333,1567.7,2023,3,29,2.0,14.94,135.986,368.03000000000003,7.47
2023-03-29 21:01:09+00:00,6.22053833,-75.602875,1567.2,2023,3,29,2.0,14.57,137.986,382.6,7.285
2023-03-29 21:01:11+00:00,6.22052167,-75.60299333,1567.0,2023,3,29,2.0,13.21,139.986,395.81,6.605
2023-03-29 21:01:13+00:00,6.22052167,-75.60310333,1567.5,2023,3,29,2.0,12.16,141.986,407.97,6.08
2023-03-29 21:01:15+00:00,6.22053833,-75.60323667,1568.1,2023,3,29,2.0,14.86,143.986,422.83000000000004,7.43
2023-03-29 21:01:17+00:00,6.22056167,-75.60337167,1569.1,2023,3,29,2.0,15.15,145.986,437.98,7.575
2023-03-29 21:01:19+00:00,6.220585,-75.60349167,1569.8,2023,3,29,2.0,13.52,147.986,451.5,6.76
2023-03-29 21:01:21+00:00,6.22060833,-75.60359167,1569.7,2023,3,29,2.0,11.35,149.986,462.85,5.675
2023-03-29 21:01:24+00:00,6.22064,-75.6037,1569.6,2023,3,29,3.0,12.48,152.986,475.33000000000004,4.16
2023-03-29 21:01:29+00:00,6.22066167,-75.60380667,1568.1,2023,3,29,5.0,12.04,157.986,487.37000000000006,2.408
2023-03-29 21:01:32+00:00,6.22073333,-75.60386833,1567.2,2023,3,29,3.0,10.49,160.986,497.86000000000007,3.4966666666666666
2023-03-29 21:01:34+00:00,6.22083667,-75.60385333,1566.8,2023,3,29,2.0,11.61,162.986,509.4700000000001,5.805
2023-03-29 21:01:35+00:00,6.22092667,-75.60383167,1570.3,2023,3,29,1.0,10.29,163.986,519.7600000000001,10.29
2023-03-29 21:01:37+00:00,6.22108667,-75.60378,1569.8,2023,3,29,2.0,18.69,165.986,538.4500000000002,9.345
2023-03-29 21:01:39+00:00,6.22125667,-75.603735,1568.3,2023,3,29,2.0,19.55,167.986,558.0000000000001,9.775
2023-03-29 21:01:41+00:00,6.22143333,-75.60367333,1566.7,2023,3,29,2.0,20.79,169.986,578.7900000000001,10.395
2023-03-29 21:01:43+00:00,6.22159333,-75.60359667,1565.5,2023,3,29,2.0,19.71,171.986,598.5000000000001,9.855
2023-03-29 21:01:45+00:00,6.22172333,-75.60351667,1564.4,2023,3,29,2.0,16.95,173.986,615.4500000000002,8.475
2023-03-29 21:01:47+00:00,6.221845,-75.60341833,1563.5,2023,3,29,2.0,17.36,175.986,632.8100000000002,8.68
2023-03-29 21:01:49+00:00,6.221915,-75.603315,1563.1,2023,3,29,2.0,13.82,177.986,646.6300000000002,6.91
2023-03-29 21:01:51+00:00,6.22195667,-75.60322,1562.4,2023,3,29,2.0,11.48,179.986,658.1100000000002,5.74
2023-03-29 21:01:54+00:00,6.22200833,-75.60312,1561.9,2023,3,29,3.0,12.46,182.986,670.5700000000003,4.153333333333333
2023-03-29 21:01:58+00:00,6.22204667,-75.60298667,1563.0,2023,3,29,4.0,15.34,186.986,685.9100000000003,3.835
2023-03-29 21:02:00+00:00,6.2221,-75.60285667,1563.4,2023,3,29,2.0,15.55,188.986,701.4600000000003,7.775
2023-03-29 21:02:02+00:00,6.22215667,-75.60271,1564.0,2023,3,29,2.0,17.39,190.986,718.8500000000003,8.695
2023-03-29 21:02:04+00:00,6.222205,-75.60257167,1564.5,2023,3,29,2.0,16.21,192.986,735.0600000000003,8.105
2023-03-29 21:02:06+00:00,6.222255,-75.60246333,1565.0,2023,3,29,2.0,13.2,194.986,748.2600000000003,6.6
2023-03-29 21:02:09+00:00,6.22230833,-75.60237333,1565.6,2023,3,29,3.0,11.58,197.986,759.8400000000004,3.86
2023-03-29 21:02:12+00:00,6.22234833,-75.60226333,1566.9,2023,3,29,3.0,12.95,200.986,772.7900000000004,4.316666666666666
2023-03-29 21:02:14+00:00,6.22239833,-75.60216167,1567.2,2023,3,29,2.0,12.54,202.986,785.3300000000004,6.27
2023-03-29 21:02:16+00:00,6.22243667,-75.602005,1567.0,2023,3,29,2.0,17.84,204.986,803.1700000000004,8.92
2023-03-29 21:02:17+00:00,6.22245167,-75.60191333,1566.4,2023,3,29,1.0,10.27,205.986,813.4400000000004,10.27
2023-03-29 21:02:18+00:00,6.22245667,-75.60182,1564.7,2023,3,29,1.0,10.33,206.986,823.7700000000004,10.33
2023-03-29 21:02:19+00:00,6.222455,-75.601725,1564.6,2023,3,29,1.0,10.5,207.986,834.2700000000004,10.5
2023-03-29 21:02:20+00:00,6.22246167,-75.60162833,1564.8,2023,3,29,1.0,10.71,208.986,844.9800000000005,10.71
2023-03-29 21:02:22+00:00,6.22244667,-75.60146167,1561.8,2023,3,29,2.0,18.5,210.986,863.4800000000005,9.25
2023-03-29 21:02:24+00:00,6.22241833,-75.60133,1559.9,2023,3,29,2.0,14.89,212.986,878.3700000000005,7.445
2023-03-29 21:02:26+00:00,6.22238333,-75.60121667,1559.2,2023,3,29,2.0,13.12,214.986,891.4900000000005,6.56
2023-03-29 21:02:29+00:00,6.22234167,-75.60113333,1558.0,2023,3,29,3.0,10.31,217.986,901.8000000000004,3.436666666666667
2023-03-29 21:02:33+00:00,6.22227167,-75.60102667,1556.8,2023,3,29,4.0,14.13,221.986,915.9300000000004,3.5325
2023-03-29 21:02:35+00:00,6.22222,-75.60092,1556.7,2023,3,29,2.0,13.12,223.986,929.0500000000004,6.56
2023-03-29 21:02:37+00:00,6.22215,-75.60080833,1556.8,2023,3,29,2.0,14.59,225.986,943.6400000000004,7.295
